,wmt22.mqm_tab11,wmt22.da_sqm_tab8
*Cross-QE[noref],0.781021897810219,0.8321299638989169
*HWTSC-TLM[noref],0.6970802919708029,0.7454873646209387
*HuaweiTSC_EE_BERTScore_0.3_Without_Human,0.7372262773722628,0.7274368231046932
*HuaweiTSC_EE_BERTScore_0.5_With_Human,0.781021897810219,0.7671480144404332
*HuaweiTSC_EE_BERTScore_0.5_Without_Human,0.7737226277372263,0.7617328519855595
*HuaweiTSC_EE_BERTScore_0.8_With_Human,0.7846715328467153,0.776173285198556
*HuaweiTSC_EE_BERTScore_0.8_Without_Human,0.7846715328467153,0.7725631768953068
*KG-BERTScore[noref],0.6642335766423357,0.48014440433212996
*MEE,0.7481751824817519,
*MEE2,0.7591240875912408,
*UniTE-ref,0.8175182481751825,0.8375451263537906
*chrfoid-wmt23[noref],0.7773722627737226,0.8321299638989169
*cometoid22-wmt21[noref],0.7883211678832117,0.8483754512635379
*cometoid22-wmt22[noref],0.8065693430656934,0.8574007220216606
*cometoid22-wmt23[noref],0.8029197080291971,0.8592057761732852
*f101spBLEU,0.7445255474452555,0.7454873646209387
*metricx_xl_DA_2019,0.864963503649635,0.8501805054151624
*metricx_xl_MQM_2020,0.843065693430657,0.8592057761732852
*metricx_xxl_DA_2019,0.864963503649635,0.8574007220216606
BERTScore,0.7737226277372263,0.7617328519855595
BLEU,0.708029197080292,0.703971119133574
BLEURT-20,0.8467153284671532,0.8267148014440433
COMET-20,0.8357664233576643,0.8231046931407943
COMET-22,0.8394160583941606,0.8393501805054152
COMET-QE[noref],0.781021897810219,0.8176895306859205
COMETKiwi[noref],0.7883211678832117,0.8321299638989169
HWTSC-Teacher-Sim[noref],0.6861313868613139,0.7166064981949458
HuaweiTSC_EE_BERTScore_0.3_With_Human,0.7591240875912408,0.7454873646209387
MATESE,0.8102189781021898,
MATESE-QE[noref],0.7481751824817519,
MEE4,0.7883211678832117,
MS-COMET-22,0.8284671532846716,0.8303249097472925
MS-COMET-QE-22[noref],0.7554744525547445,0.8212996389891697
REUSE[noref],0.3467153284671533,0.33754512635379064
UniTE,0.8284671532846716,0.8465703971119134
UniTE-src[noref],0.7591240875912408,0.796028880866426
YiSi-1,0.791970802919708,0.7815884476534296
chrF,0.7335766423357665,0.7581227436823105
f200spBLEU,0.7408759124087592,0.7454873646209387
metricx_xxl_MQM_2020,0.8503649635036497,0.8610108303249098
